Invoicedate,Distributor,GroupId,Type,Provincename,MatNo,Material Name,New_Volume(L),Points,Material Old Name,MatL,MatSize,AuxMat,MatCom,MatPack
3/21/2023,A,ERW_AMBP2020110392,Retails,Bangkok,142212,Mobil 1 0W-20,2624,10,MOBIL 1 0W-20 CTN TH 2X4L/CAR,4,Big Carton,,Mobil 1,Carton
9/23/2023,C,ERW_C08P2020090012,Reseller,Kamphaeng Phet,143306,Mobil 1 0W-20,2736,10,"MOBIL 1 0W-20 CTN, 4X4LT",4,Big Carton,,Mobil 1,Carton
8/15/2023,C,ERW_C08P2020090119,Reseller,Uttaradit,140521,Mobil 1 0W-40,7248,10,"MOBIL 1 0W-40 (SN), 4x4LT CTN",4,Big Carton,,Mobil 1,Carton
8/10/2023,C,ERW_C08P2020090068,Retails,Phitsanulok,140521,Mobil 1 0W-40,1696,10,"MOBIL 1 0W-40 (SN), 4x4LT CTN",4,Big Carton,,Mobil 1,Carton
3/7/2023,C,ERW_C08P2020090119,Reseller,Uttaradit,140521,Mobil 1 0W-40,4176,10,"MOBIL 1 0W-40 (SN), 4x4LT CTN",4,Big Carton,,Mobil 1,Carton
5/23/2023,C,ERW_C08P2020090119,Reseller,Uttaradit,140521,Mobil 1 0W-40,1488,10,"MOBIL 1 0W-40 (SN), 4x4LT CTN",4,Big Carton,,Mobil 1,Carton
3/2/2023,C,ERW_C08P2020090138,Retails,Lamphun,140521,Mobil 1 0W-40,3296,10,"MOBIL 1 0W-40 (SN), 4x4LT CTN",4,Big Carton,,Mobil 1,Carton
3/2/2023,C,ERW_C08P2020090145,Retails,Chiang Mai,140521,Mobil 1 0W-40,3664,10,"MOBIL 1 0W-40 (SN), 4x4LT CTN",4,Big Carton,,Mobil 1,Carton
9/4/2023,C,ERW_C08P2020090148,Retails,Chiang Mai,140521,Mobil 1 0W-40,3936,10,"MOBIL 1 0W-40 (SN), 4x4LT CTN",4,Big Carton,,Mobil 1,Carton
2/24/2023,C,ERW_C08P2020090127,Reseller,Phrae,140521,Mobil 1 0W-40,1552,10,"MOBIL 1 0W-40 (SN), 4x4LT CTN",4,Big Carton,,Mobil 1,Carton
6/29/2023,C,ERW_C08P2020090216,Retails,Nakhon Sawan,140521,Mobil 1 0W-40,490,10,"MOBIL 1 0W-40 (SN), 4x4LT CTN",4,Big Carton,,Mobil 1,Carton
3/2/2023,C,ERW_C08P2020090056,Retails,Nakhon Sawan,140521,Mobil 1 0W-40,50,10,"MOBIL 1 0W-40 (SN), 4x4LT CTN",4,Big Carton,,Mobil 1,Carton
3/11/2023,C,ERW_C08P2020090135,Retails,Lampang,140521,Mobil 1 0W-40,268,10,"MOBIL 1 0W-40 (SN), 4x4LT CTN",4,Big Carton,,Mobil 1,Carton
1/30/2023,C,ERW_C08P2020090176,Retails,Chiang Rai,140521,Mobil 1 0W-40,172,10,"MOBIL 1 0W-40 (SN), 4x4LT CTN",4,Big Carton,,Mobil 1,Carton
9/18/2023,A,ERW_AI8N2021070010,Retails,Bangkok,140521,Mobil 1 0W-40,704,10,MOBIL 1 0W-40 (SP) SG 4X4L/CAR,4,Big Carton,,Mobil 1,Carton
7/5/2023,A,ERW_AI8N2021070010,Retails,Bangkok,140521,Mobil 1 0W-40,896,10,MOBIL 1 0W-40 (SP) SG 4X4L/CAR,4,Big Carton,,Mobil 1,Carton
8/30/2023,A,ERW_AMBP2020110142,Reseller,Saraburi,140521,Mobil 1 0W-40,5920,10,MOBIL 1 0W-40 (SP) SG 4X4L/CAR,4,Big Carton,,Mobil 1,Carton
7/27/2023,A,ERW_AMBP2020110050,Retails,Bangkok,140521,Mobil 1 0W-40,7952,10,MOBIL 1 0W-40 (SP) SG 4X4L/CAR,4,Big Carton,,Mobil 1,Carton
2/15/2023,A,ERW_AMBP2020110200,Retails,Rayong,140521,Mobil 1 0W-40,7532,10,MOBIL 1 0W-40 (SP) SG 4X4L/CAR,4,Big Carton,,Mobil 1,Carton
7/25/2023,A,ERW_AMBP2020110137,Retails,Sing Buri,140521,Mobil 1 0W-40,2784,10,MOBIL 1 0W-40 (SP) SG 4X4L/CAR,4,Big Carton,,Mobil 1,Carton
7/21/2023,A,ERW_AMBP2020110147,Retails,Chon Buri,140521,Mobil 1 0W-40,4560,10,MOBIL 1 0W-40 (SP) SG 4X4L/CAR,4,Big Carton,,Mobil 1,Carton
8/2/2023,A,ERW_AMBP2020110523,Retails,Chon Buri,140521,Mobil 1 0W-40,1640,10,MOBIL 1 0W-40 (SP) SG 4X4L/CAR,4,Big Carton,,Mobil 1,Carton
8/24/2023,A,ERW_AMBP2020110124,Retails,Phra Nakhon Si Ayutthaya,140521,Mobil 1 0W-40,1312,10,MOBIL 1 0W-40 (SP) SG 4X4L/CAR,4,Big Carton,,Mobil 1,Carton
9/13/2023,A,ERW_AMBP2020110156,Retails,Chon Buri,140521,Mobil 1 0W-40,1456,10,MOBIL 1 0W-40 (SP) SG 4X4L/CAR,4,Big Carton,,Mobil 1,Carton
7/25/2023,A,ERW_AMBP2020110257,Retails,Udon Thani,140521,Mobil 1 0W-40,512,10,MOBIL 1 0W-40 (SP) SG 4X4L/CAR,4,Big Carton,,Mobil 1,Carton
3/10/2023,A,ERW_AMBP2020110340,Retails,Phetchaburi,140521,Mobil 1 0W-40,3216,10,MOBIL 1 0W-40 (SP) SG 4X4L/CAR,4,Big Carton,,Mobil 1,Carton
2/21/2023,A,ERW_ADG22021040106,Retails,Samut Prakan,140521,Mobil 1 0W-40,5936,10,MOBIL 1 0W-40 (SP) SG 4X4L/CAR,4,Big Carton,,Mobil 1,Carton
2/20/2023,A,ERW_AMBP2020110131,Reseller,Lop Buri,140521,Mobil 1 0W-40,1648,10,MOBIL 1 0W-40 (SP) SG 4X4L/CAR,4,Big Carton,,Mobil 1,Carton
7/21/2023,A,ERW_AMBP2020110131,Reseller,Lop Buri,140521,Mobil 1 0W-40,6048,10,MOBIL 1 0W-40 (SP) SG 4X4L/CAR,4,Big Carton,,Mobil 1,Carton
6/6/2023,A,ERW_AMBP2020110370,Retails,Bangkok,140521,Mobil 1 0W-40,1936,10,MOBIL 1 0W-40 (SP) SG 4X4L/CAR,4,Big Carton,,Mobil 1,Carton
7/11/2023,A,ERW_AMBP2020110380,Retails,Bangkok,140521,Mobil 1 0W-40,416,10,MOBIL 1 0W-40 (SP) SG 4X4L/CAR,4,Big Carton,,Mobil 1,Carton
3/7/2023,A,ERW_AUOF2022100001,Retails,Bangkok,140521,Mobil 1 0W-40,6480,10,MOBIL 1 0W-40 (SP) SG 4X4L/CAR,4,Big Carton,,Mobil 1,Carton
3/15/2023,A,ERW_AUOF2022100001,Retails,Bangkok,140521,Mobil 1 0W-40,3488,10,MOBIL 1 0W-40 (SP) SG 4X4L/CAR,4,Big Carton,,Mobil 1,Carton
8/29/2023,A,ERW_A3GG2023090003,Retails,Khon Kaen,140521,Mobil 1 0W-40,688,10,MOBIL 1 0W-40 (SP) SG 4X4L/CAR,4,Big Carton,,Mobil 1,Carton
9/14/2023,A,ERW_AMBP2020110002,Retails,Bangkok,140521,Mobil 1 0W-40,4192,10,MOBIL 1 0W-40 (SP) SG 4X4L/CAR,4,Big Carton,,Mobil 1,Carton
7/13/2023,A,ERW_AMBP2020110060,Retails,Bangkok,140521,Mobil 1 0W-40,5808,10,MOBIL 1 0W-40 (SP) SG 4X4L/CAR,4,Big Carton,,Mobil 1,Carton
8/11/2023,A,ERW_AMBP2020110380,Retails,Bangkok,140521,Mobil 1 0W-40,7488,10,MOBIL 1 0W-40 (SP) SG 4X4L/CAR,4,Big Carton,,Mobil 1,Carton
9/21/2023,A,ERW_AMBP2020110380,Retails,Bangkok,140521,Mobil 1 0W-40,2896,10,MOBIL 1 0W-40 (SP) SG 4X4L/CAR,4,Big Carton,,Mobil 1,Carton
4/7/2023,A,ERW_AMBP2020110552,Retails,Sa Kaeo,140521,Mobil 1 0W-40,1872,10,MOBIL 1 0W-40 (SP) SG 4X4L/CAR,4,Big Carton,,Mobil 1,Carton
1/17/2023,A,ERW_AMBP2020110060,Retails,Bangkok,140521,Mobil 1 0W-40,3952,10,MOBIL 1 0W-40 4/4 LT,4,Big Carton,,Mobil 1,Carton
6/23/2023,A,ERW_AMBP2020110079,Retails,Bangkok,140521,Mobil 1 0W-40,504,10,MOBIL 1 0W-40 4X4L/CAR,4,Big Carton,,Mobil 1,Carton
8/4/2023,A,ERW_AMBP2020110060,Retails,Bangkok,140521,Mobil 1 0W-40,1392,10,MOBIL 1 0W-40 4X4L/CAR,4,Big Carton,,Mobil 1,Carton
8/4/2023,A,ERW_AMBP2020110060,Retails,Bangkok,140521,Mobil 1 0W-40,3424,10,MOBIL 1 0W-40 4X4L/CAR,4,Big Carton,,Mobil 1,Carton
7/24/2023,A,ERW_AMBP2020110060,Retails,Bangkok,140521,Mobil 1 0W-40,2960,10,MOBIL 1 0W-40 4X4L/CAR,4,Big Carton,,Mobil 1,Carton
7/21/2023,A,ERW_AMBP2020110060,Retails,Bangkok,140521,Mobil 1 0W-40,2592,10,MOBIL 1 0W-40 4X4L/CAR,4,Big Carton,,Mobil 1,Carton
7/6/2023,A,ERW_AMBP2020110060,Retails,Bangkok,140521,Mobil 1 0W-40,128,10,MOBIL 1 0W-40 4X4L/CAR,4,Big Carton,,Mobil 1,Carton
2/22/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,140521,Mobil 1 0W-40,6048,10,MOBIL 1 0W-40 CTN 4X4L:SG,4,Big Carton,,Mobil 1,Carton
2/9/2023,A,ERW_AMBP2020110042,Retails,Bangkok,140521,Mobil 1 0W-40,2032,10,MOBIL 1 0W-40 CTN 4X4L:SG,4,Big Carton,,Mobil 1,Carton
2/21/2023,A,ERW_AMBP2020110079,Retails,Bangkok,140521,Mobil 1 0W-40,11396,10,MOBIL 1 0W-40 CTN 4X4L:SG,4,Big Carton,,Mobil 1,Carton
2/13/2023,A,ERW_AMBP2020110082,Retails,Bangkok,140521,Mobil 1 0W-40,8232,10,MOBIL 1 0W-40 CTN 4X4L:SG,4,Big Carton,,Mobil 1,Carton
2/21/2023,A,ERW_AMBP2020110030,Retails,Bangkok,140521,Mobil 1 0W-40,160,10,MOBIL 1 0W-40 CTN 4X4L:SG,4,Big Carton,,Mobil 1,Carton
2/17/2023,A,ERW_AMBP2020110030,Retails,Bangkok,140521,Mobil 1 0W-40,6860,10,MOBIL 1 0W-40 CTN 4X4L:SG,4,Big Carton,,Mobil 1,Carton
2/20/2023,A,ERW_AMBP2020110030,Retails,Bangkok,140521,Mobil 1 0W-40,3440,10,MOBIL 1 0W-40 CTN 4X4L:SG,4,Big Carton,,Mobil 1,Carton
2/14/2023,A,ERW_AMBP2020110060,Retails,Bangkok,140521,Mobil 1 0W-40,3968,10,MOBIL 1 0W-40 CTN 4X4L:SG,4,Big Carton,,Mobil 1,Carton
2/21/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,140521,Mobil 1 0W-40,6608,10,MOBIL 1 0W-40 CTN 4X4L:SG,4,Big Carton,,Mobil 1,Carton
1/7/2023,D,ERW_DBG72020110014,Retails,Pattani,140521,Mobil 1 0W-40,5424,10,MOBIL 1 0W-40 CTN 4X4L:SG,4,Big Carton,,Mobil 1,Carton
3/31/2023,D,ERW_DBG72020110038,Reseller,Phuket,140521,Mobil 1 0W-40,4624,10,MOBIL 1 0W-40 CTN 4X4L:SG,4,Big Carton,,Mobil 1,Carton
2/17/2023,D,ERW_DBG72020110038,Reseller,Phuket,140521,Mobil 1 0W-40,4656,10,MOBIL 1 0W-40 CTN 4X4L:SG,4,Big Carton,,Mobil 1,Carton
1/27/2023,D,ERW_DBG72020110038,Reseller,Phuket,140521,Mobil 1 0W-40,240,10,MOBIL 1 0W-40 CTN 4X4L:SG,4,Big Carton,,Mobil 1,Carton
1/16/2023,D,ERW_DBG72020110082,Reseller,Songkhla,140521,Mobil 1 0W-40,2240,10,MOBIL 1 0W-40 CTN 4X4L:SG,4,Big Carton,,Mobil 1,Carton
1/27/2023,D,ERW_DBG72020110082,Reseller,Songkhla,140521,Mobil 1 0W-40,7872,10,MOBIL 1 0W-40 CTN 4X4L:SG,4,Big Carton,,Mobil 1,Carton
2/13/2023,A,ERW_A7QF2022060003,Retails,N\A,140521,Mobil 1 0W-40,608,10,MOBIL 1 0W-40 CTN 4X4L:SG,4,Big Carton,,Mobil 1,Carton
2/20/2023,A,ERW_AMBP2020110060,Retails,Bangkok,140521,Mobil 1 0W-40,2080,10,MOBIL 1 0W-40 CTN 4X4L:SG,4,Big Carton,,Mobil 1,Carton
2/24/2023,A,ERW_AMBP2020110257,Retails,Udon Thani,140521,Mobil 1 0W-40,3696,10,MOBIL 1 0W-40 CTN 4X4L:SG,4,Big Carton,,Mobil 1,Carton
2/20/2023,A,ERW_AMBP2020110402,Retails,Bangkok,140521,Mobil 1 0W-40,1984,10,MOBIL 1 0W-40 CTN 4X4L:SG,4,Big Carton,,Mobil 1,Carton
2/8/2023,D,ERW_DBG72020110036,Retails,Songkhla,140521,Mobil 1 0W-40,1648,10,MOBIL 1 0W-40 CTN 4X4L:SG,4,Big Carton,,Mobil 1,Carton
2/2/2023,D,ERW_DBG72020110038,Reseller,Phuket,140521,Mobil 1 0W-40,2672,10,MOBIL 1 0W-40 CTN 4X4L:SG,4,Big Carton,,Mobil 1,Carton
2/14/2023,D,ERW_DBG72020110082,Reseller,Songkhla,140521,Mobil 1 0W-40,4464,10,MOBIL 1 0W-40 CTN 4X4L:SG,4,Big Carton,,Mobil 1,Carton
2/28/2023,D,ERW_DBG72020110037,Retails,Songkhla,140521,Mobil 1 0W-40,343,10,MOBIL 1 0W-40 CTN 4X4L:SG,4,Big Carton,,Mobil 1,Carton
10/3/2023,B,ERW_BM2U2020110014,Reseller,Suphan Buri,140521,Mobil 1 0W-40,7420,10,"โมบิล 1 0W40(SN) ,4/4",4,Big Carton,,Mobil 1,Carton
5/24/2023,B,ERW_BM2U2020110177,Retails,Nakhon Pathom,140521,Mobil 1 0W-40,1700,10,"โมบิล 1 0W40(SN) ,4/4",4,Big Carton,,Mobil 1,Carton
5/29/2023,B,ERW_BM2U2020110014,Reseller,Suphan Buri,140521,Mobil 1 0W-40,5420,10,"โมบิล 1 0W40(SN) ,4/4",4,Big Carton,,Mobil 1,Carton
5/31/2023,B,ERW_BM2U2020110116,Retails,Samut Sakhon,140521,Mobil 1 0W-40,6672,10,"โมบิล 1 0W40(SN) ,4/4",4,Big Carton,,Mobil 1,Carton
10/30/2023,B,ERW_BM2U2020110002,Retails,Nakhon Pathom,140521,Mobil 1 0W-40,5600,10,"โมบิล 1 0W40(SN) ,4/4",4,Big Carton,,Mobil 1,Carton
10/31/2023,B,ERW_BM2U2020110004,Retails,Samut Sakhon,140521,Mobil 1 0W-40,5568,10,"โมบิล 1 0W40(SN) ,4/4",4,Big Carton,,Mobil 1,Carton
5/31/2023,B,ERW_BM2U2020110004,Retails,Samut Sakhon,140521,Mobil 1 0W-40,4688,10,"โมบิล 1 0W40(SN) ,4/4",4,Big Carton,,Mobil 1,Carton
12/18/2023,B,ERW_BM2U2020110109,Retails,Nakhon Pathom,140521,Mobil 1 0W-40,7040,10,"โมบิล 1 0W40(SN) ,4/4",4,Big Carton,,Mobil 1,Carton
5/31/2023,B,ERW_BM2U2020110149,Retails,Nakhon Pathom,140521,Mobil 1 0W-40,1472,10,"โมบิล 1 0W40(SN) ,4/4",4,Big Carton,,Mobil 1,Carton
10/5/2023,B,ERW_BM2U2020110062,Retails,Nakhon Pathom,140521,Mobil 1 0W-40,1584,10,"โมบิล 1 0W40(SN) ,4/4",4,Big Carton,,Mobil 1,Carton
5/31/2023,B,ERW_B0FF2023010001,Retails,Nakhon Pathom,140521,Mobil 1 0W-40,5584,10,"โมบิล 1 0W40(SN) ,4/4",4,Big Carton,,Mobil 1,Carton
4/4/2023,B,ERW_B5CM2020120002,Retails,Bangkok,140521,Mobil 1 0W-40,5584,10,"โมบิล 1 0W40(SN) ,4/4",4,Big Carton,,Mobil 1,Carton
10/20/2023,B,ERW_B8AI2023110002,Retails,Suphan Buri,140521,Mobil 1 0W-40,1968,10,"โมบิล 1 0W40(SN) ,4/4",4,Big Carton,,Mobil 1,Carton
5/31/2023,B,ERW_BM2U2020110053,Retails,Nakhon Pathom,140521,Mobil 1 0W-40,1248,10,"โมบิล 1 0W40(SN) ,4/4",4,Big Carton,,Mobil 1,Carton
6/15/2023,B,ERW_BM2U2020110004,Retails,Samut Sakhon,140521,Mobil 1 0W-40,128,10,"โมบิล 1 0W40(SN) ,4/4",4,Big Carton,,Mobil 1,Carton
5/26/2023,B,ERW_BM2U2020110026,Retails,Nakhon Pathom,140521,Mobil 1 0W-40,4928,10,"โมบิล 1 0W40(SN) ,4/4",4,Big Carton,,Mobil 1,Carton
11/7/2023,B,ERW_BM2U2020110034,Retails,Nakhon Pathom,140521,Mobil 1 0W-40,1376,10,"โมบิล 1 0W40(SN) ,4/4",4,Big Carton,,Mobil 1,Carton
1/10/2023,B,ERW_BM2U2020110034,Retails,Nakhon Pathom,140521,Mobil 1 0W-40,5680,10,"โมบิล 1 0W40(SN) ,4/4",4,Big Carton,,Mobil 1,Carton
9/12/2023,B,ERW_BM2U2020110075,Retails,Bangkok,140521,Mobil 1 0W-40,3280,10,"โมบิล 1 0W40(SN) ,4/4",4,Big Carton,,Mobil 1,Carton
5/30/2023,B,ERW_BM2U2020110077,Retails,Samut Sakhon,140521,Mobil 1 0W-40,80,10,"โมบิล 1 0W40(SN) ,4/4",4,Big Carton,,Mobil 1,Carton
11/23/2023,B,ERW_BM2U2020110077,Retails,Samut Sakhon,140521,Mobil 1 0W-40,2288,10,"โมบิล 1 0W40(SN) ,4/4",4,Big Carton,,Mobil 1,Carton
12/21/2023,B,ERW_BM2U2020110077,Retails,Samut Sakhon,140521,Mobil 1 0W-40,6800,10,"โมบิล 1 0W40(SN) ,4/4",4,Big Carton,,Mobil 1,Carton
10/3/2023,B,ERW_BM2U2020110077,Retails,Samut Sakhon,140521,Mobil 1 0W-40,3104,10,"โมบิล 1 0W40(SN) ,4/4",4,Big Carton,,Mobil 1,Carton
6/14/2023,B,ERW_BM2U2020110081,Retails,Ratchaburi,140521,Mobil 1 0W-40,1664,10,"โมบิล 1 0W40(SN) ,4/4",4,Big Carton,,Mobil 1,Carton
12/25/2023,B,ERW_BM2U2020110081,Retails,Ratchaburi,140521,Mobil 1 0W-40,1856,10,"โมบิล 1 0W40(SN) ,4/4",4,Big Carton,,Mobil 1,Carton
5/30/2023,B,ERW_BM2U2020110109,Retails,Nakhon Pathom,140521,Mobil 1 0W-40,7504,10,"โมบิล 1 0W40(SN) ,4/4",4,Big Carton,,Mobil 1,Carton
12/2/2023,B,ERW_BM2U2020110126,Retails,Samut Sakhon,140521,Mobil 1 0W-40,6560,10,"โมบิล 1 0W40(SN) ,4/4",4,Big Carton,,Mobil 1,Carton
4/7/2023,B,ERW_BM2U2020110126,Retails,Samut Sakhon,140521,Mobil 1 0W-40,7856,10,"โมบิล 1 0W40(SN) ,4/4",4,Big Carton,,Mobil 1,Carton
11/30/2023,B,ERW_BM2U2020110133,Retails,Ratchaburi,140521,Mobil 1 0W-40,4144,10,"โมบิล 1 0W40(SN) ,4/4",4,Big Carton,,Mobil 1,Carton
9/14/2023,B,ERW_BXG52021040275,Retails,Prachuap Khiri Khan,140521,Mobil 1 0W-40,1952,10,"โมบิล 1 0W40(SN) ,4/4",4,Big Carton,,Mobil 1,Carton
3/15/2023,A,ERW_AMBP2020110082,Retails,Bangkok,140523,Mobil 1 0W-40,4140,10,MOBIL 1 0W-40 (SP) SG 12X1L/CAR,1,Small Carton,,Mobil 1,Carton
5/15/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,140523,Mobil 1 0W-40,8280,10,MOBIL 1 0W-40 (SP) SG 12X1L/CAR,1,Small Carton,,Mobil 1,Carton
7/26/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,140523,Mobil 1 0W-40,6120,10,MOBIL 1 0W-40 (SP) SG 12X1L/CAR,1,Small Carton,,Mobil 1,Carton
7/20/2023,A,ERW_AMBP2020110030,Retails,Bangkok,140523,Mobil 1 0W-40,4632,10,MOBIL 1 0W-40 (SP) SG 12X1L/CAR,1,Small Carton,,Mobil 1,Carton
4/18/2023,A,ERW_AMBP2020110030,Retails,Bangkok,140523,Mobil 1 0W-40,3936,10,MOBIL 1 0W-40 (SP) SG 12X1L/CAR,1,Small Carton,,Mobil 1,Carton
7/21/2023,A,ERW_AMBP2020110147,Retails,Chon Buri,140523,Mobil 1 0W-40,4752,10,MOBIL 1 0W-40 (SP) SG 12X1L/CAR,1,Small Carton,,Mobil 1,Carton
5/9/2023,A,ERW_AMBP2020110385,Retails,Bangkok,140523,Mobil 1 0W-40,2148,10,MOBIL 1 0W-40 (SP) SG 12X1L/CAR,1,Small Carton,,Mobil 1,Carton
7/19/2023,A,ERW_AI8N2021070010,Retails,Bangkok,140523,Mobil 1 0W-40,648,10,MOBIL 1 0W-40 (SP) SG 12X1L/CAR,1,Small Carton,,Mobil 1,Carton
4/24/2023,A,ERW_AI8N2021070010,Retails,Bangkok,140523,Mobil 1 0W-40,3408,10,MOBIL 1 0W-40 (SP) SG 12X1L/CAR,1,Small Carton,,Mobil 1,Carton
6/26/2023,A,ERW_AMBP2020110001,Retails,Bangkok,140523,Mobil 1 0W-40,2340,10,MOBIL 1 0W-40 (SP) SG 12X1L/CAR,1,Small Carton,,Mobil 1,Carton
3/13/2023,A,ERW_AMBP2020110030,Retails,Bangkok,140523,Mobil 1 0W-40,5964,10,MOBIL 1 0W-40 (SP) SG 12X1L/CAR,1,Small Carton,,Mobil 1,Carton
5/18/2023,A,ERW_AMBP2020110030,Retails,Bangkok,140523,Mobil 1 0W-40,912,10,MOBIL 1 0W-40 (SP) SG 12X1L/CAR,1,Small Carton,,Mobil 1,Carton
7/3/2023,A,ERW_AMBP2020110030,Retails,Bangkok,140523,Mobil 1 0W-40,1356,10,MOBIL 1 0W-40 (SP) SG 12X1L/CAR,1,Small Carton,,Mobil 1,Carton
5/15/2023,A,ERW_AMBP2020110060,Retails,Bangkok,140523,Mobil 1 0W-40,1992,10,MOBIL 1 0W-40 (SP) SG 12X1L/CAR,1,Small Carton,,Mobil 1,Carton
4/27/2023,A,ERW_AMBP2020110060,Retails,Bangkok,140523,Mobil 1 0W-40,432,10,MOBIL 1 0W-40 (SP) SG 12X1L/CAR,1,Small Carton,,Mobil 1,Carton
3/13/2023,A,ERW_AMBP2020110060,Retails,Bangkok,140523,Mobil 1 0W-40,324,10,MOBIL 1 0W-40 (SP) SG 12X1L/CAR,1,Small Carton,,Mobil 1,Carton
7/24/2023,A,ERW_AMBP2020110060,Retails,Bangkok,140523,Mobil 1 0W-40,3480,10,MOBIL 1 0W-40 (SP) SG 12X1L/CAR,1,Small Carton,,Mobil 1,Carton
7/5/2023,A,ERW_AMBP2020110060,Retails,Bangkok,140523,Mobil 1 0W-40,2424,10,MOBIL 1 0W-40 (SP) SG 12X1L/CAR,1,Small Carton,,Mobil 1,Carton
5/16/2023,A,ERW_AMBP2020110142,Reseller,Saraburi,140523,Mobil 1 0W-40,2580,10,MOBIL 1 0W-40 (SP) SG 12X1L/CAR,1,Small Carton,,Mobil 1,Carton
7/12/2023,A,ERW_AMBP2020110156,Retails,Chon Buri,140523,Mobil 1 0W-40,5160,10,MOBIL 1 0W-40 (SP) SG 12X1L/CAR,1,Small Carton,,Mobil 1,Carton
6/19/2023,A,ERW_AMBP2020110206,Reseller,Chachoengsao,140523,Mobil 1 0W-40,1536,10,MOBIL 1 0W-40 (SP) SG 12X1L/CAR,1,Small Carton,,Mobil 1,Carton
9/14/2023,A,ERW_AUOF2022100001,Retails,Bangkok,140523,Mobil 1 0W-40,5472,10,MOBIL 1 0W-40 (SP) SG 12X1L/CAR,1,Small Carton,,Mobil 1,Carton
2/28/2023,D,ERW_DBG72020110037,Retails,Songkhla,140523,Mobil 1 0W-40,455,10,MOBIL 1 0W-40 CTN 12X1L:SG,1,Small Carton,,Mobil 1,Carton
2/22/2023,D,ERW_DBG72020110082,Reseller,Songkhla,140523,Mobil 1 0W-40,2820,10,MOBIL 1 0W-40 CTN 12X1L:SG,1,Small Carton,,Mobil 1,Carton
10/19/2023,D,ERW_DBG72020110037,Retails,Songkhla,140523,Mobil 1 0W-40,3852,10,MOBIL 1 0W-40 CTN 12X1L:SG,1,Small Carton,,Mobil 1,Carton
9/29/2023,D,ERW_DBG72020110038,Reseller,Phuket,140523,Mobil 1 0W-40,2004,10,MOBIL 1 0W-40 CTN 12X1L:SG,1,Small Carton,,Mobil 1,Carton
4/28/2023,D,ERW_DBG72020110038,Reseller,Phuket,140523,Mobil 1 0W-40,1344,10,MOBIL 1 0W-40 CTN 12X1L:SG,1,Small Carton,,Mobil 1,Carton
2/22/2023,D,ERW_DBG72020110038,Reseller,Phuket,140523,Mobil 1 0W-40,4980,10,MOBIL 1 0W-40 CTN 12X1L:SG,1,Small Carton,,Mobil 1,Carton
12/13/2023,D,ERW_DBG72020110038,Reseller,Phuket,140523,Mobil 1 0W-40,2352,10,MOBIL 1 0W-40 CTN 12X1L:SG,1,Small Carton,,Mobil 1,Carton
11/9/2023,D,ERW_DBG72020110082,Reseller,Songkhla,140523,Mobil 1 0W-40,2916,10,MOBIL 1 0W-40 CTN 12X1L:SG,1,Small Carton,,Mobil 1,Carton
7/18/2023,C,ERW_C08P2020090145,Retails,Chiang Mai,140523,Mobil 1 0W-40,488,10,MOBIL 1 0W-40 CTN 12X1L:SG,1,Small Carton,,Mobil 1,Carton
